,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
82,-2,4100,BANANAS,4997,8,4996.0,28.0,,,5003,28,,,,,5000.0,-17.59375
84,-2,4200,BANANAS,4997,5,4996.0,25.0,,,5002,2,5003.0,23.0,,,4999.5,-13.75
86,-2,4300,BANANAS,4996,26,,,,,5003,26,,,,,4999.5,-12.953125
88,-2,4400,BANANAS,4996,9,4995.0,28.0,,,5002,29,,,,,4999.0,-2.765625
90,-2,4500,BANANAS,4996,2,4995.0,29.0,,,5002,30,,,,,4999.0,-1.6875
92,-2,4600,BANANAS,4996,2,4995.0,29.0,,,5002,31,,,,,4999.0,-2.6875
95,-2,4700,BANANAS,4996,1,4995.0,29.0,,,5000,3,5002.0,30.0,,,4998.0,-3.0625
97,-2,4800,BANANAS,4995,26,,,,,5000,6,5002.0,26.0,,,4997.5,2.40625
99,-2,4900,BANANAS,4996,2,4995.0,22.0,,,5002,24,,,,,4999.0,-3.953125
101,-2,5000,BANANAS,4996,21,,,,,5001,1,5002.0,1.0,5003.0,20.0,4998.5,-13.515625
103,-2,5100,BANANAS,4999,2,4996.0,31.0,,,5003,31,,,,,5001.0,-16.9375
105,-2,5200,BANANAS,4996,27,,,,,5002,2,5003.0,25.0,,,4999.0,-8.125
107,-2,5300,BANANAS,4996,23,,,,,5003,23,,,,,4999.5,-15.984375
109,-2,5400,BANANAS,4996,30,,,,,5002,1,5003.0,29.0,,,4999.0,-10.5625
111,-2,5500,BANANAS,4997,7,4996.0,30.0,,,5003,30,,,,,5000.0,-19.984375
112,-2,5600,BANANAS,4996,32,,,,,5002,2,5003.0,30.0,,,4999.0,-8.4375
114,-2,5700,BANANAS,4996,29,,,,,5001,1,5003.0,29.0,,,4998.5,-18.265625
117,-2,5800,BANANAS,4996,28,,,,,5003,28,,,,,4999.5,-18.015625
119,-2,5900,BANANAS,4996,3,4995.0,28.0,,,5002,29,,,,,4999.0,-4.5625
120,-2,6000,BANANAS,4996,2,4995.0,21.0,,,5002,23,,,,,4999.0,-1.171875
122,-2,6100,BANANAS,4996,1,4995.0,26.0,,,5002,27,,,,,4999.0,-1.71875
125,-2,6200,BANANAS,4996,2,4995.0,23.0,,,5002,25,,,,,4999.0,-4.640625
127,-2,6300,BANANAS,4995,26,,,,,5002,26,,,,,4998.5,5.953125
128,-2,6400,BANANAS,4995,25,,,,,5002,26,,,,,4998.5,14.796875
130,-2,6500,BANANAS,4995,22,,,,,5001,1,5002.0,21.0,,,4998.0,12.578125
133,-2,6600,BANANAS,4995,1,4994.0,23.0,,,5001,25,,,,,4998.0,14.84375
135,-2,6700,BANANAS,4996,3,4995.0,28.0,,,5001,1,5002.0,27.0,,,4998.5,12.140625
136,-2,6800,BANANAS,4995,24,,,,,5002,24,,,,,4998.5,-1.328125
139,-2,6900,BANANAS,4999,1,4994.0,28.0,,,5001,28,,,,,5000.0,20.34375
141,-2,7000,BANANAS,4994,24,,,,,5001,24,,,,,4997.5,18.3125
143,-2,7100,BANANAS,4995,26,,,,,5002,26,,,,,4998.5,2.25
145,-2,7200,BANANAS,4995,27,,,,,5001,1,5002.0,26.0,,,4998.0,6.1875
147,-2,7300,BANANAS,4994,27,,,,,5001,28,,,,,4997.5,14.015625
149,-2,7400,BANANAS,4995,28,,,,,5000,3,5002.0,28.0,,,4997.5,1.703125
151,-2,7500,BANANAS,4995,26,,,,,5002,26,,,,,4998.5,-0.046875
152,-2,7600,BANANAS,4995,30,,,,,5002,30,,,,,4998.5,-12.875
154,-2,7700,BANANAS,4995,26,,,,,4996,8,5000.0,1.0,5002.0,26.0,4995.5,-7.890625
156,-2,7800,BANANAS,4995,1,4994.0,21.0,,,5001,22,,,,,4998.0,13.390625
158,-2,7900,BANANAS,4995,1,4994.0,29.0,,,5001,30,,,,,4998.0,15.0
160,-2,8000,BANANAS,4995,9,4994.0,24.0,,,5001,24,,,,,4998.0,21.40625
162,-2,8100,BANANAS,4995,10,4994.0,20.0,,,5001,21,,,,,4998.0,10.3125
164,-2,8200,BANANAS,4995,30,,,,,5000,9,5002.0,30.0,,,4997.5,9.53125
166,-2,8300,BANANAS,4994,29,,,,,5001,29,,,,,4997.5,33.59375
168,-2,8400,BANANAS,4994,6,4993.0,25.0,,,4995,3,5000.0,25.0,,,4994.5,51.234375
170,-2,8500,BANANAS,4994,24,,,,,5001,24,,,,,4997.5,38.25
172,-2,8600,BANANAS,4994,28,,,,,4999,10,5001.0,28.0,,,4996.5,28.25
174,-2,8700,BANANAS,4994,24,,,,,4999,5,5001.0,24.0,,,4996.5,39.4375
176,-2,8800,BANANAS,4999,1,4995.0,1.0,4994.0,20.0,5001,20,,,,,5000.0,42.9375
178,-2,8900,BANANAS,4994,27,,,,,5001,27,,,,,4997.5,37.421875
180,-2,9000,BANANAS,4994,31,,,,,5001,31,,,,,4997.5,29.8125
183,-2,9100,BANANAS,4994,24,,,,,5001,24,,,,,4997.5,15.515625
185,-2,9200,BANANAS,4995,28,,,,,5000,2,5002.0,28.0,,,4997.5,11.375
187,-2,9300,BANANAS,4996,9,4995.0,28.0,,,5001,2,5002.0,26.0,,,4998.5,12.953125
189,-2,9400,BANANAS,4995,2,4994.0,25.0,,,5001,27,,,,,4998.0,17.21875
191,-2,9500,BANANAS,4995,25,,,,,5000,6,5002.0,25.0,,,4997.5,0.0
193,-2,9600,BANANAS,4994,31,,,,,5001,31,,,,,4997.5,36.796875
195,-2,9700,BANANAS,4994,30,,,,,5001,30,,,,,4997.5,39.078125
196,-2,9800,BANANAS,4994,25,,,,,5001,25,,,,,4997.5,38.578125
199,-2,9900,BANANAS,4994,2,4993.0,25.0,,,5000,27,,,,,4997.0,61.890625
200,-2,10000,BANANAS,4994,1,4993.0,30.0,,,5000,31,,,,,4997.0,56.484375
203,-2,10100,BANANAS,4993,25,,,,,5000,25,,,,,4996.5,67.15625
204,-2,10200,BANANAS,4994,30,,,,,5000,1,5001.0,29.0,,,4997.0,53.09375
207,-2,10300,BANANAS,4999,1,4994.0,23.0,,,5001,23,,,,,5000.0,52.15625
208,-2,10400,BANANAS,4994,23,,,,,4999,3,5001.0,23.0,,,4996.5,41.0
211,-2,10500,BANANAS,4999,5,4994.0,20.0,,,5001,20,,,,,5000.0,20.65625
212,-2,10600,BANANAS,4995,1,4994.0,29.0,,,4999,8,5001.0,30.0,,,4997.0,19.671875
215,-2,10700,BANANAS,4994,29,,,,,5001,29,,,,,4997.5,36.109375
216,-2,10800,BANANAS,4994,2,4993.0,22.0,,,5000,24,,,,,4997.0,64.484375
219,-2,10900,BANANAS,4994,22,,,,,5001,22,,,,,4997.5,31.71875
220,-2,11000,BANANAS,4994,27,,,,,5001,27,,,,,4997.5,33.828125
223,-2,11100,BANANAS,4994,29,,,,,5001,29,,,,,4997.5,46.75
224,-2,11200,BANANAS,4994,21,,,,,5001,21,,,,,4997.5,51.28125
227,-2,11300,BANANAS,4994,22,,,,,5001,23,,,,,4997.5,51.734375
229,-2,11400,BANANAS,4994,30,,,,,4995,1,5001.0,30.0,,,4994.5,34.828125
231,-2,11500,BANANAS,4995,4,4994.0,24.0,,,5001,24,,,,,4998.0,31.484375
233,-2,11600,BANANAS,4994,30,,,,,4999,9,5001.0,30.0,,,4996.5,31.265625
235,-2,11700,BANANAS,4994,23,,,,,5001,23,,,,,4997.5,45.796875
237,-2,11800,BANANAS,4994,31,,,,,5001,31,,,,,4997.5,36.3125
239,-2,11900,BANANAS,4994,23,,,,,5000,1,5001.0,22.0,,,4997.0,57.359375
241,-2,12000,BANANAS,4994,30,,,,,5001,30,,,,,4997.5,43.859375
242,-2,12100,BANANAS,4995,21,,,,,5002,21,,,,,4998.5,12.953125
244,-2,12200,BANANAS,4994,23,,,,,5001,23,,,,,4997.5,43.96875
246,-2,12300,BANANAS,4994,6,4993.0,28.0,,,5000,28,,,,,4997.0,94.09375
248,-2,12400,BANANAS,4993,25,,,,,5000,25,,,,,4996.5,81.609375
250,-2,12500,BANANAS,4994,29,,,,,4999,10,5001.0,29.0,,,4996.5,29.890625
252,-2,12600,BANANAS,4994,27,,,,,5001,27,,,,,4997.5,50.265625
254,-2,12700,BANANAS,4994,1,4993.0,22.0,,,5000,23,,,,,4997.0,75.71875
256,-2,12800,BANANAS,4994,20,,,,,4999,10,5001.0,20.0,,,4996.5,63.78125
258,-2,12900,BANANAS,4993,20,,,,,4998,7,5000.0,20.0,,,4995.5,47.96875
260,-2,13000,BANANAS,4993,31,,,,,5000,31,,,,,4996.5,61.15625
262,-2,13100,BANANAS,4994,10,4993.0,22.0,,,5000,22,,,,,4997.0,70.1875
264,-2,13200,BANANAS,4993,23,,,,,4998,2,5000.0,23.0,,,4995.5,56.5
266,-2,13300,BANANAS,4993,29,,,,,4998,6,5000.0,29.0,,,4995.5,67.03125
268,-2,13400,BANANAS,4994,4,4993.0,28.0,,,5000,28,,,,,4997.0,59.875
270,-2,13500,BANANAS,4994,4,4993.0,27.0,,,5000,27,,,,,4997.0,61.0625
273,-2,13600,BANANAS,4993,24,,,,,5000,24,,,,,4996.5,83.3125
275,-2,13700,BANANAS,4993,1,4992.0,20.0,,,4999,21,,,,,4996.0,91.78125
277,-2,13800,BANANAS,4992,22,,,,,4999,22,,,,,4995.5,116.78125
279,-2,13900,BANANAS,4992,21,,,,,4999,21,,,,,4995.5,116.65625
281,-2,14000,BANANAS,4995,2,4992.0,25.0,,,4999,25,,,,,4997.0,139.90625
283,-2,14100,BANANAS,4991,27,,,,,4998,27,,,,,4994.5,169.5625
285,-2,14200,BANANAS,4992,25,,,,,4999,25,,,,,4995.5,130.1875
286,-2,14300,BANANAS,4992,24,,,,,4999,25,,,,,4995.5,128.40625
289,-2,14400,BANANAS,4992,20,,,,,4997,10,4999.0,20.0,,,4994.5,129.90625
291,-2,14500,BANANAS,4992,31,,,,,4997,3,4999.0,31.0,,,4994.5,115.9375
292,-2,14600,BANANAS,4992,21,,,,,4999,21,,,,,4995.5,127.5625
294,-2,14700,BANANAS,4992,20,,,,,4999,20,,,,,4995.5,133.84375
297,-2,14800,BANANAS,4992,30,,,,,4993,4,4997.0,7.0,4999.0,30.0,4992.5,122.25
299,-2,14900,BANANAS,4992,29,,,,,4999,29,,,,,4995.5,114.53125
300,-2,15000,BANANAS,4992,22,,,,,4998,2,4999.0,21.0,,,4995.0,143.4375
302,-2,15100,BANANAS,4992,29,,,,,4999,29,,,,,4995.5,120.25
305,-2,15200,BANANAS,4993,4,4992.0,28.0,,,4999,28,,,,,4996.0,136.75
307,-2,15300,BANANAS,4992,8,4991.0,26.0,,,4998,26,,,,,4995.0,166.21875
308,-2,15400,BANANAS,4991,22,,,,,4996,8,4998.0,22.0,,,4993.5,191.375
310,-2,15500,BANANAS,4991,25,,,,,4996,9,4997.0,1.0,4998.0,24.0,4993.5,202.3125
313,-2,15600,BANANAS,4992,8,4991.0,25.0,,,4998,25,,,,,4995.0,157.03125
315,-2,15700,BANANAS,4991,31,,,,,4998,31,,,,,4994.5,189.84375
317,-2,15800,BANANAS,4996,8,4991.0,21.0,,,4998,21,,,,,4997.0,188.59375
319,-2,15900,BANANAS,4990,26,,,,,4997,26,,,,,4993.5,269.34375
321,-2,16000,BANANAS,4991,4,4990.0,22.0,,,4997,22,,,,,4994.0,269.4375
323,-2,16100,BANANAS,4996,1,4991.0,2.0,4990.0,25.0,4997,27,,,,,4996.5,240.875
325,-2,16200,BANANAS,4991,1,4990.0,29.0,,,4995,10,4997.0,30.0,,,4993.0,248.46875
327,-2,16300,BANANAS,4990,30,,,,,4992,4,4993.0,5.0,4995.0,9.0,4991.0,268.5625
329,-2,16400,BANANAS,4990,29,,,,,4997,29,,,,,4993.5,261.25
330,-2,16500,BANANAS,4991,1,4990.0,26.0,,,4995,9,4997.0,27.0,,,4993.0,239.03125
332,-2,16600,BANANAS,4991,23,,,,,4994,3,4998.0,23.0,,,4992.5,229.0
334,-2,16700,BANANAS,4992,24,,,,,4994,4,4998.0,24.0,,,4993.0,155.28125
336,-2,16800,BANANAS,4992,21,,,,,4999,21,,,,,4995.5,143.1875
338,-2,16900,BANANAS,4992,4,4991.0,25.0,,,4998,26,,,,,4995.0,174.71875
340,-2,17000,BANANAS,4992,2,4991.0,27.0,,,4998,29,,,,,4995.0,179.8125
342,-2,17100,BANANAS,4991,25,,,,,4998,25,,,,,4994.5,182.78125
344,-2,17200,BANANAS,4991,30,,,,,4992,1,4998.0,30.0,,,4991.5,178.53125
346,-2,17300,BANANAS,4994,4,4992.0,1.0,4991.0,24.0,4996,1,4998.0,25.0,,,4995.0,179.8125
348,-2,17400,BANANAS,4992,6,4991.0,26.0,,,4998,26,,,,,4995.0,172.96875
350,-2,17500,BANANAS,4991,22,,,,,4997,1,4998.0,21.0,,,4994.0,239.53125
352,-2,17600,BANANAS,4991,31,,,,,4998,31,,,,,4994.5,206.59375
354,-2,17700,BANANAS,4991,28,,,,,4998,28,,,,,4994.5,229.5625
356,-2,17800,BANANAS,4995,5,4991.0,1.0,4990.0,29.0,4997,30,,,,,4996.0,276.34375
358,-2,17900,BANANAS,4991,22,,,,,4997,2,4998.0,20.0,,,4994.0,255.625
361,-2,18000,BANANAS,4991,30,,,,,4998,30,,,,,4994.5,200.6875
363,-2,18100,BANANAS,4991,26,,,,,4998,27,,,,,4994.5,177.3125
365,-2,18200,BANANAS,4992,4,4991.0,28.0,,,4994,5,4998.0,29.0,,,4993.0,170.625
367,-2,18300,BANANAS,4992,9,4991.0,27.0,,,4998,27,,,,,4995.0,207.5625
369,-2,18400,BANANAS,4992,21,,,,,4997,6,4999.0,21.0,,,4994.5,85.5625
371,-2,18500,BANANAS,4992,26,,,,,4999,26,,,,,4995.5,46.0625
373,-2,18600,BANANAS,4992,31,,,,,4993,1,4997.0,10.0,4999.0,31.0,4992.5,97.375
375,-2,18700,BANANAS,4992,32,,,,,4997,8,4998.0,2.0,4999.0,30.0,4994.5,130.3125
376,-2,18800,BANANAS,4992,26,,,,,4997,6,4998.0,2.0,4999.0,24.0,4994.5,126.4375
379,-2,18900,BANANAS,4992,6,4991.0,25.0,,,4998,25,,,,,4995.0,197.0625
380,-2,19000,BANANAS,4991,24,,,,,4996,9,4998.0,24.0,,,4993.5,189.5
383,-2,19100,BANANAS,4991,24,,,,,4996,8,4998.0,24.0,,,4993.5,210.4375
384,-2,19200,BANANAS,4992,23,,,,,4998,24,,,,,4995.0,151.875
387,-2,19300,BANANAS,4993,4,4992.0,31.0,,,4999,31,,,,,4996.0,108.0
388,-2,19400,BANANAS,4992,1,4991.0,23.0,,,4998,23,,,,,4995.0,228.8125
391,-2,19500,BANANAS,4992,5,4991.0,31.0,,,4998,31,,,,,4995.0,227.0
392,-2,19600,BANANAS,4995,1,4990.0,22.0,,,4997,22,,,,,4996.0,301.75
395,-2,19700,BANANAS,4991,26,,,,,4997,1,4998.0,25.0,,,4994.0,251.5
396,-2,19800,BANANAS,4991,23,,,,,4998,23,,,,,4994.5,243.8125
399,-2,19900,BANANAS,4994,2,4991.0,26.0,,,4998,26,,,,,4996.0,218.3125
400,-2,20000,BANANAS,4990,28,,,,,4997,28,,,,,4993.5,268.0
403,-2,20100,BANANAS,4991,30,,,,,4998,30,,,,,4994.5,183.0
405,-2,20200,BANANAS,4992,28,,,,,4999,28,,,,,4995.5,89.0625
407,-2,20300,BANANAS,4997,1,4996.0,5.0,4992.0,25.0,4998,1,4999.0,24.0,,,4997.5,138.6875
409,-2,20400,BANANAS,4992,25,,,,,4999,25,,,,,4995.5,143.6875
411,-2,20500,BANANAS,4992,1,4991.0,24.0,,,4998,25,,,,,4995.0,172.4375
413,-2,20600,BANANAS,4991,21,,,,,4998,21,,,,,4994.5,173.75
415,-2,20700,BANANAS,4991,23,,,,,4998,23,,,,,4994.5,239.875
417,-2,20800,BANANAS,4992,23,,,,,4998,2,4999.0,21.0,,,4995.0,142.625
418,-2,20900,BANANAS,4992,2,4991.0,28.0,,,4998,30,,,,,4995.0,193.3125
420,-2,21000,BANANAS,4991,29,,,,,4998,29,,,,,4994.5,212.125
422,-2,21100,BANANAS,4992,1,4991.0,22.0,,,4998,23,,,,,4995.0,185.9375
424,-2,21200,BANANAS,4991,28,,,,,4998,28,,,,,4994.5,220.0
426,-2,21300,BANANAS,4991,29,,,,,4996,5,4998.0,29.0,,,4993.5,232.6875
428,-2,21400,BANANAS,4996,1,4991.0,23.0,,,4998,23,,,,,4997.0,264.125
430,-2,21500,BANANAS,4991,26,,,,,4996,5,4997.0,1.0,4998.0,25.0,4993.5,271.25
432,-2,21600,BANANAS,4995,8,4993.0,3.0,4990.0,23.0,4997,23,,,,,4996.0,333.375
434,-2,21700,BANANAS,4990,22,,,,,4997,22,,,,,4993.5,356.625
436,-2,21800,BANANAS,4996,1,4990.0,27.0,,,4997,27,,,,,4996.5,367.6875
438,-2,21900,BANANAS,4991,3,4990.0,21.0,,,4997,21,,,,,4994.0,385.4375
440,-2,22000,BANANAS,4991,1,4990.0,24.0,,,4997,24,,,,,4994.0,382.5625
442,-2,22100,BANANAS,4990,26,,,,,4997,26,,,,,4993.5,398.1875
444,-2,22200,BANANAS,4990,27,,,,,4995,1,4997.0,27.0,,,4992.5,358.4375
446,-2,22300,BANANAS,4990,26,,,,,4997,27,,,,,4993.5,372.1875
449,-2,22400,BANANAS,4995,1,4990.0,29.0,,,4997,29,,,,,4996.0,379.5625
451,-2,22500,BANANAS,4990,30,,,,,4996,1,4997.0,29.0,,,4993.0,415.0625
453,-2,22600,BANANAS,4989,22,,,,,4996,22,,,,,4992.5,443.3125
455,-2,22700,BANANAS,4989,27,,,,,4990,1,4996.0,27.0,,,4989.5,510.8125
457,-2,22800,BANANAS,4989,22,,,,,4996,22,,,,,4992.5,483.25
459,-2,22900,BANANAS,4989,22,,,,,4995,1,4996.0,21.0,,,4992.0,544.25
461,-2,23000,BANANAS,4989,2,4988.0,24.0,,,4990,4,4995.0,26.0,,,4989.5,584.125
463,-2,23100,BANANAS,4989,22,,,,,4995,1,4996.0,21.0,,,4992.0,563.0625
464,-2,23200,BANANAS,4989,29,,,,,4995,1,4996.0,28.0,,,4992.0,541.5625
466,-2,23300,BANANAS,4989,22,,,,,4994,4,4995.0,2.0,4996.0,20.0,4991.5,563.1875
469,-2,23400,BANANAS,4991,1,4988.0,21.0,,,4995,21,,,,,4993.0,671.6875
471,-2,23500,BANANAS,4988,22,,,,,4995,22,,,,,4991.5,649.1875
472,-2,23600,BANANAS,4988,23,,,,,4993,3,4995.0,23.0,,,4990.5,635.4375
474,-2,23700,BANANAS,4988,1,4987.0,26.0,,,4994,27,,,,,4991.0,711.375
477,-2,23800,BANANAS,4988,29,,,,,4994,2,4995.0,27.0,,,4991.0,670.0625
479,-2,23900,BANANAS,4987,23,,,,,4994,23,,,,,4990.5,707.8125
480,-2,24000,BANANAS,4987,26,,,,,4988,9,4989.0,2.0,4994.0,26.0,4987.5,768.375
482,-2,24100,BANANAS,4987,31,,,,,4992,7,4994.0,31.0,,,4989.5,763.375
485,-2,24200,BANANAS,4987,32,,,,,4994,32,,,,,4990.5,773.0625
487,-2,24300,BANANAS,4990,6,4987.0,29.0,,,4994,29,,,,,4992.0,762.3125
488,-2,24400,BANANAS,4987,1,4986.0,28.0,,,4993,29,,,,,4990.0,848.5625
490,-2,24500,BANANAS,4993,1,4988.0,8.0,4987.0,22.0,4994,22,,,,,4993.5,751.4375
493,-2,24600,BANANAS,4987,30,,,,,4994,30,,,,,4990.5,786.5
495,-2,24700,BANANAS,4986,27,,,,,4993,27,,,,,4989.5,937.5
497,-2,24800,BANANAS,4987,23,,,,,4993,2,4994.0,21.0,,,4990.0,900.1875
499,-2,24900,BANANAS,4987,2,4986.0,26.0,,,4991,9,4993.0,28.0,,,4989.0,921.75
501,-2,25000,BANANAS,4988,8,4987.0,24.0,,,4993,24,,,,,4990.5,902.25
503,-2,25100,BANANAS,4992,1,4986.0,24.0,,,4993,24,,,,,4992.5,922.875
505,-2,25200,BANANAS,4987,1,4986.0,25.0,,,4993,26,,,,,4990.0,928.75
507,-2,25300,BANANAS,4986,23,,,,,4993,23,,,,,4989.5,913.9375
508,-2,25400,BANANAS,4986,22,,,,,4993,22,,,,,4989.5,959.4375
510,-2,25500,BANANAS,4987,2,4986.0,29.0,,,4991,1,4993.0,31.0,,,4989.0,918.3125
512,-2,25600,BANANAS,4986,31,,,,,4993,31,,,,,4989.5,947.0625
514,-2,25700,BANANAS,4986,30,,,,,4991,8,4993.0,30.0,,,4988.5,1007.25
516,-2,25800,BANANAS,4986,24,,,,,4993,24,,,,,4989.5,1002.625
518,-2,25900,BANANAS,4986,25,,,,,4991,6,4993.0,25.0,,,4988.5,975.4375
520,-2,26000,BANANAS,4986,26,,,,,4993,26,,,,,4989.5,989.625
522,-2,26100,BANANAS,4986,23,,,,,4992,2,4993.0,21.0,,,4989.0,1042.9375
524,-2,26200,BANANAS,4991,1,4986.0,30.0,,,4993,30,,,,,4992.0,1004.875
526,-2,26300,BANANAS,4986,2,4985.0,28.0,,,4992,28,,,,,4989.0,1110.75
528,-2,26400,BANANAS,4985,23,,,,,4992,24,,,,,4988.5,1171.4375
530,-2,26500,BANANAS,4986,1,4985.0,26.0,,,4992,26,,,,,4989.0,1169.1875
532,-2,26600,BANANAS,4985,1,4984.0,22.0,,,4991,23,,,,,4988.0,1254.1875
534,-2,26700,BANANAS,4990,1,4985.0,1.0,4984.0,22.0,4991,23,,,,,4990.5,1301.0625
536,-2,26800,BANANAS,4990,1,4984.0,22.0,,,4991,22,,,,,4990.5,1307.1875
539,-2,26900,BANANAS,4985,26,,,,,4992,26,,,,,4988.5,1245.625
541,-2,27000,BANANAS,4984,21,,,,,4991,21,,,,,4987.5,1308.625
543,-2,27100,BANANAS,4984,30,,,,,4991,30,,,,,4987.5,1351.75
545,-2,27200,BANANAS,4984,28,,,,,4985,1,4991.0,28.0,,,4984.5,1329.0
547,-2,27300,BANANAS,4984,9,4983.0,30.0,,,4990,30,,,,,4987.0,1496.4375
549,-2,27400,BANANAS,4985,1,4984.0,23.0,,,4991,23,,,,,4988.0,1282.25
551,-2,27500,BANANAS,4984,28,,,,,4991,28,,,,,4987.5,1330.6875
552,-2,27600,BANANAS,4984,30,,,,,4991,30,,,,,4987.5,1381.3125
555,-2,27700,BANANAS,4984,27,,,,,4991,27,,,,,4987.5,1321.875
556,-2,27800,BANANAS,4984,24,,,,,4991,24,,,,,4987.5,1324.75
559,-2,27900,BANANAS,4984,7,4983.0,22.0,,,4990,23,,,,,4987.0,1447.9375
560,-2,28000,BANANAS,4984,29,,,,,4991,29,,,,,4987.5,1404.75
563,-2,28100,BANANAS,4985,3,4984.0,24.0,,,4991,24,,,,,4988.0,1349.1875
564,-2,28200,BANANAS,4984,25,,,,,4991,25,,,,,4987.5,1380.6875
567,-2,28300,BANANAS,4984,27,,,,,4985,15,4989.0,6.0,4991.0,27.0,4984.5,1400.375
568,-2,28400,BANANAS,4984,25,,,,,4991,25,,,,,4987.5,1330.625
571,-2,28500,BANANAS,4984,27,,,,,4985,3,4990.0,2.0,4991.0,25.0,4984.5,1399.375
572,-2,28600,BANANAS,4984,26,,,,,4989,2,4990.0,2.0,4991.0,24.0,4986.5,1359.75
575,-2,28700,BANANAS,4985,6,4984.0,32.0,,,4991,32,,,,,4988.0,1349.6875
576,-2,28800,BANANAS,4989,1,4984.0,29.0,,,4990,2,4991.0,27.0,,,4989.5,1402.4375
