,mid_price
11953,8060.0
12086,8056.0
12582,8071.5
12762,8075.0
12798,8081.5
12934,8074.5
13246,8069.5
13377,8068.0
13646,8078.0
14358,8074.5
14441,8075.0
14574,8074.5
15070,8068.5
15250,8069.0
15286,8068.0
15734,8085.0
15865,8091.5
16134,8086.5
16846,8095.5
16929,8095.0
17062,8093.0
17558,8084.0
17738,8083.0
17774,8083.0
18222,8080.0
18353,8068.0
18622,8074.0
19334,8075.0
19417,8074.0
19550,8068.5
20046,8078.5
20226,8071.0
20262,8070.0
20710,8061.0
20841,8068.0
21110,8069.5
21822,8076.5
21905,8073.0
22038,8071.0
22534,8076.5
22714,8080.0
22750,8081.5
23198,8063.5
23329,8058.5
23598,8060.5
23910,8056.0
24310,8055.5
24393,8057.5
24526,8055.0
25022,8038.5
25202,8044.5
25238,8042.5
25686,8046.5
25734,8048.0
25817,8045.0
26086,8049.0
26398,8039.0
26798,8033.0
26881,8027.5
27014,8023.5
27510,8016.5
27690,8022.5
27726,8024.5
28174,8031.0
28222,8029.5
28305,8030.5
28574,8028.0
28886,8035.5
29286,8040.0
29369,8030.5
29998,8037.0
30178,8037.0
30214,8033.0
30662,8045.5
30710,8041.5
30793,8036.0
31062,8035.5
31374,8031.0
31774,8018.0
31857,8026.5
32486,8028.0
32666,8027.0
32702,8025.5
33198,8020.0
33281,8020.0
33414,8022.5
33862,8029.5
34262,8034.0
34345,8033.5
34974,8038.0
35154,8042.0
35190,8037.5
35686,8029.5
35769,8033.0
35902,8035.5
36350,8039.0
36750,8033.5
36833,8034.5
37462,8035.0
37642,8030.5
37678,8031.5
38174,8017.0
38257,8021.0
38390,8014.5
38838,8001.5
39238,7991.5
39321,7992.5
39950,7999.5
94,8001.5
494,8004.5
577,8004.0
1206,7996.0
1386,7996.5
1422,7994.0
1918,7974.5
2001,7974.5
2134,7978.5
2582,7955.5
2810,7962.5
2982,7969.5
3065,7966.5
3294,7967.5
3694,7956.5
3874,7960.5
3910,7962.0
4406,7964.5
4489,7972.5
4622,7965.5
5070,7965.5
5118,7967.0
5298,7970.0
5470,7975.5
5553,7970.5
5782,7969.5
6182,7973.5
6398,7978.0
6894,7982.0
6977,7984.5
7110,7980.5
7558,7983.5
7606,7981.5
7786,7984.0
7958,7982.5
8041,7980.0
8270,7981.0
8670,7975.5
8886,7969.5
9382,7968.5
9465,7974.5
9598,7976.5
10046,7965.0
10094,7966.0
10274,7968.5
10446,7977.5
10529,7976.5
10758,7984.5
10889,7983.5
11158,7993.0
11870,8021.0
11953,8023.5
12086,8024.5
12582,8021.5
12762,8019.0
12798,8021.5
12934,8025.5
13246,8038.0
13377,8035.5
13646,8034.5
14358,8036.0
14441,8035.5
14574,8044.5
15070,8049.5
15250,8050.0
15286,8049.0
15734,8053.5
15865,8051.0
16134,8036.0
16846,8025.5
16929,8025.5
17062,8027.5
17558,8047.0
17738,8046.0
17774,8045.5
18222,8056.0
18353,8053.5
18622,8049.0
19334,8028.5
19417,8025.0
19550,8026.0
20046,8037.0
20226,8035.5
20262,8034.5
20710,8044.5
20841,8048.0
21110,8047.5
21822,8060.5
21905,8059.5
22038,8064.5
22534,8055.5
22714,8051.5
22750,8051.5
23198,8042.0
23329,8039.5
23598,8047.0
23910,8038.5
24310,8049.5
24393,8052.0
24526,8054.0
25022,8032.5
25202,8029.0
25238,8029.0
25686,8037.0
25734,8033.5
25817,8028.5
26086,8043.0
26398,8036.0
26798,8041.0
26881,8044.5
27014,8043.0
27510,8046.5
27690,8052.5
27726,8056.5
28174,8062.5
28222,8062.0
28305,8062.5
28574,8067.5
28886,8062.0
29286,8062.0
29369,8065.5
29998,8071.0
30178,8072.5
30214,8072.5
30662,8074.5
30710,8076.5
30793,8075.0
31062,8076.5
31374,8076.0
31774,8068.0
31857,8066.5
32486,8085.0
32666,8092.0
32702,8093.5
33198,8090.0
33281,8092.5
33414,8098.5
33862,8098.0
34262,8091.0
34345,8088.5
34974,8094.0
35154,8096.5
35190,8097.5
35686,8101.0
35769,8097.0
35902,8095.0
36350,8085.0
36750,8097.0
36833,8092.0
37462,8092.5
37642,8097.5
37678,8092.0
38174,8094.0
38257,8093.0
38390,8098.5
38838,8108.5
39238,8118.5
39321,8118.0
39950,8115.5
